date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:53:11	6230/6230	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Apr%202024%2008:53:13%20GMT	https://highleviathan.com/07536-kitchen-hacks-101-how-to-clean-a-tea-strainer-at-home-c-07536/?ad_id=120208665856280149&adset_id=120208665856290149&campaign_id=120208665856240149&ad_name=MB8MYE3&adset_name=MBAFFMYEAH157&campaign_name=07536-MBAFFMYEAH157-MB8MYE&source=fb&placement=Facebook_Desktop_Feed&pid=1518344238747132&cpid=2af95546-b558-465a-bf93-25064667823c&lpid=2274e47c-8a17-4f3f-afc9-ad2a648a6f44&fbclid=IwAR0W8A_SCSdsZGCceXYBs_036gAoxPlC4TebGYPGErZf4rsYti1h_lXYuds_aem_AXyek6NQDOhClCirQKCQOt-RHRhZWcpV1uxLMkUTrfIniOQUD7i_k5o3_AznPWXVDWtJM1f3hn1BUzcyW3oyLyuZ	C:/Users/User/OneDrive/Pictures/TESTING2/LANDING2/highleviathan.com/07536-kitchen-hacks-101-how-to-clean-a-tea-strainer-at-home-c-07536/indexb53a.html	(from )
16:53:12	0/0	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2024%20Apr%202024%2008:53:13%20GMT	https://highleviathan.com/robots.txt		(from )
16:53:12	1345/1345	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%22cb453f34e88215c7f4da626149c7152c%22	https://highleviathan.com/07536-kitchen-hacks-101-how-to-clean-a-tea-strainer-at-home-c-07536/images/favicon.ico	C:/Users/User/OneDrive/Pictures/TESTING2/LANDING2/highleviathan.com/07536-kitchen-hacks-101-how-to-clean-a-tea-strainer-at-home-c-07536/images/favicon.ico	(from https://highleviathan.com/07536-kitchen-hacks-101-how-to-clean-a-tea-strainer-at-home-c-07536/?ad_id=120208665856280149&adset_id=120208665856290149&campaign_id=120208665856240149&ad_name=MB8MYE3&adset_name=MBAFFMYEAH157&campaign_name=07536-MBAFFMYEAH157-MB8MYE&source=fb&placement=Facebook_Desktop_Feed&pid=1518344238747132&cpid=2af95546-b558-465a-bf93-25064667823c&lpid=2274e47c-8a17-4f3f-afc9-ad2a648a6f44&fbclid=IwAR0W8A_SCSdsZGCceXYBs_036gAoxPlC4TebGYPGErZf4rsYti1h_lXYuds_aem_AXyek6NQDOhClCirQKCQOt-RHRhZWcpV1uxLMkUTrfIniOQUD7i_k5o3_AznPWXVDWtJM1f3hn1BUzcyW3oyLyuZ)
16:53:12	1521/1521	---MCZ	200	added ('OK')	text/css	etag:W/%2217d530bb97d0385e34dd3aa2c3655bc9%22	https://highleviathan.com/07536-kitchen-hacks-101-how-to-clean-a-tea-strainer-at-home-c-07536/css/style.css	C:/Users/User/OneDrive/Pictures/TESTING2/LANDING2/highleviathan.com/07536-kitchen-hacks-101-how-to-clean-a-tea-strainer-at-home-c-07536/css/style.css	(from https://highleviathan.com/07536-kitchen-hacks-101-how-to-clean-a-tea-strainer-at-home-c-07536/?ad_id=120208665856280149&adset_id=120208665856290149&campaign_id=120208665856240149&ad_name=MB8MYE3&adset_name=MBAFFMYEAH157&campaign_name=07536-MBAFFMYEAH157-MB8MYE&source=fb&placement=Facebook_Desktop_Feed&pid=1518344238747132&cpid=2af95546-b558-465a-bf93-25064667823c&lpid=2274e47c-8a17-4f3f-afc9-ad2a648a6f44&fbclid=IwAR0W8A_SCSdsZGCceXYBs_036gAoxPlC4TebGYPGErZf4rsYti1h_lXYuds_aem_AXyek6NQDOhClCirQKCQOt-RHRhZWcpV1uxLMkUTrfIniOQUD7i_k5o3_AznPWXVDWtJM1f3hn1BUzcyW3oyLyuZ)
16:53:12	230963/230963	---MCZ	200	added ('OK')	text/css	etag:W/%226031c74f3946cbf6ce9e3dc4b5776adf%22	https://highleviathan.com/07536-kitchen-hacks-101-how-to-clean-a-tea-strainer-at-home-c-07536/css/bootstrap.min.css	C:/Users/User/OneDrive/Pictures/TESTING2/LANDING2/highleviathan.com/07536-kitchen-hacks-101-how-to-clean-a-tea-strainer-at-home-c-07536/css/bootstrap.min.css	(from https://highleviathan.com/07536-kitchen-hacks-101-how-to-clean-a-tea-strainer-at-home-c-07536/?ad_id=120208665856280149&adset_id=120208665856290149&campaign_id=120208665856240149&ad_name=MB8MYE3&adset_name=MBAFFMYEAH157&campaign_name=07536-MBAFFMYEAH157-MB8MYE&source=fb&placement=Facebook_Desktop_Feed&pid=1518344238747132&cpid=2af95546-b558-465a-bf93-25064667823c&lpid=2274e47c-8a17-4f3f-afc9-ad2a648a6f44&fbclid=IwAR0W8A_SCSdsZGCceXYBs_036gAoxPlC4TebGYPGErZf4rsYti1h_lXYuds_aem_AXyek6NQDOhClCirQKCQOt-RHRhZWcpV1uxLMkUTrfIniOQUD7i_k5o3_AznPWXVDWtJM1f3hn1BUzcyW3oyLyuZ)
16:53:12	2333/2333	---MCZ	200	added ('OK')	text/css	etag:W/%22beb4bf76fca295a18f6f437cf1d64154%22	https://highleviathan.com/07536-kitchen-hacks-101-how-to-clean-a-tea-strainer-at-home-c-07536/css/animation.css	C:/Users/User/OneDrive/Pictures/TESTING2/LANDING2/highleviathan.com/07536-kitchen-hacks-101-how-to-clean-a-tea-strainer-at-home-c-07536/css/animation.css	(from https://highleviathan.com/07536-kitchen-hacks-101-how-to-clean-a-tea-strainer-at-home-c-07536/?ad_id=120208665856280149&adset_id=120208665856290149&campaign_id=120208665856240149&ad_name=MB8MYE3&adset_name=MBAFFMYEAH157&campaign_name=07536-MBAFFMYEAH157-MB8MYE&source=fb&placement=Facebook_Desktop_Feed&pid=1518344238747132&cpid=2af95546-b558-465a-bf93-25064667823c&lpid=2274e47c-8a17-4f3f-afc9-ad2a648a6f44&fbclid=IwAR0W8A_SCSdsZGCceXYBs_036gAoxPlC4TebGYPGErZf4rsYti1h_lXYuds_aem_AXyek6NQDOhClCirQKCQOt-RHRhZWcpV1uxLMkUTrfIniOQUD7i_k5o3_AznPWXVDWtJM1f3hn1BUzcyW3oyLyuZ)
16:53:13	319/319	---MCZ	200	added ('OK')	application/javascript	etag:W/%2219f-5f556160c19fb-gzip%22	https://zenacentre.com/backbutton/mb8mye/rolfix.js	C:/Users/User/OneDrive/Pictures/TESTING2/LANDING2/zenacentre.com/backbutton/mb8mye/rolfix.js	(from https://highleviathan.com/07536-kitchen-hacks-101-how-to-clean-a-tea-strainer-at-home-c-07536/?ad_id=120208665856280149&adset_id=120208665856290149&campaign_id=120208665856240149&ad_name=MB8MYE3&adset_name=MBAFFMYEAH157&campaign_name=07536-MBAFFMYEAH157-MB8MYE&source=fb&placement=Facebook_Desktop_Feed&pid=1518344238747132&cpid=2af95546-b558-465a-bf93-25064667823c&lpid=2274e47c-8a17-4f3f-afc9-ad2a648a6f44&fbclid=IwAR0W8A_SCSdsZGCceXYBs_036gAoxPlC4TebGYPGErZf4rsYti1h_lXYuds_aem_AXyek6NQDOhClCirQKCQOt-RHRhZWcpV1uxLMkUTrfIniOQUD7i_k5o3_AznPWXVDWtJM1f3hn1BUzcyW3oyLyuZ)
16:53:13	231/231	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2024%20Apr%202024%2008:53:15%20GMT	https://facket-openting.com/d/2af95546-b558-465a-bf93-25064667823c.js	C:/Users/User/OneDrive/Pictures/TESTING2/LANDING2/facket-openting.com/d/2af95546-b558-465a-bf93-25064667823c.5.delayed	(from https://highleviathan.com/07536-kitchen-hacks-101-how-to-clean-a-tea-strainer-at-home-c-07536/?ad_id=120208665856280149&adset_id=120208665856290149&campaign_id=120208665856240149&ad_name=MB8MYE3&adset_name=MBAFFMYEAH157&campaign_name=07536-MBAFFMYEAH157-MB8MYE&source=fb&placement=Facebook_Desktop_Feed&pid=1518344238747132&cpid=2af95546-b558-465a-bf93-25064667823c&lpid=2274e47c-8a17-4f3f-afc9-ad2a648a6f44&fbclid=IwAR0W8A_SCSdsZGCceXYBs_036gAoxPlC4TebGYPGErZf4rsYti1h_lXYuds_aem_AXyek6NQDOhClCirQKCQOt-RHRhZWcpV1uxLMkUTrfIniOQUD7i_k5o3_AznPWXVDWtJM1f3hn1BUzcyW3oyLyuZ)
16:53:14	4788/4788	---M--	200	added ('OK')	application/javascript	date:Wed,%2024%20Apr%202024%2008:53:15%20GMT	https://facket-openting.com/d/2af95546-b558-465a-bf93-25064667823c.js?noscript=true&lpurl=	C:/Users/User/OneDrive/Pictures/TESTING2/LANDING2/facket-openting.com/d/2af95546-b558-465a-bf93-25064667823cd349.js	(from https://highleviathan.com/07536-kitchen-hacks-101-how-to-clean-a-tea-strainer-at-home-c-07536/?ad_id=120208665856280149&adset_id=120208665856290149&campaign_id=120208665856240149&ad_name=MB8MYE3&adset_name=MBAFFMYEAH157&campaign_name=07536-MBAFFMYEAH157-MB8MYE&source=fb&placement=Facebook_Desktop_Feed&pid=1518344238747132&cpid=2af95546-b558-465a-bf93-25064667823c&lpid=2274e47c-8a17-4f3f-afc9-ad2a648a6f44&fbclid=IwAR0W8A_SCSdsZGCceXYBs_036gAoxPlC4TebGYPGErZf4rsYti1h_lXYuds_aem_AXyek6NQDOhClCirQKCQOt-RHRhZWcpV1uxLMkUTrfIniOQUD7i_k5o3_AznPWXVDWtJM1f3hn1BUzcyW3oyLyuZ)
16:53:14	14596/14596	---M--	200	added ('OK')	image/png	etag:%221e95cc30d3bfb2674a7eb6253036d68a%22	https://highleviathan.com/07536-kitchen-hacks-101-how-to-clean-a-tea-strainer-at-home-c-07536/images/logo.png	C:/Users/User/OneDrive/Pictures/TESTING2/LANDING2/highleviathan.com/07536-kitchen-hacks-101-how-to-clean-a-tea-strainer-at-home-c-07536/images/logo.png	(from https://highleviathan.com/07536-kitchen-hacks-101-how-to-clean-a-tea-strainer-at-home-c-07536/?ad_id=120208665856280149&adset_id=120208665856290149&campaign_id=120208665856240149&ad_name=MB8MYE3&adset_name=MBAFFMYEAH157&campaign_name=07536-MBAFFMYEAH157-MB8MYE&source=fb&placement=Facebook_Desktop_Feed&pid=1518344238747132&cpid=2af95546-b558-465a-bf93-25064667823c&lpid=2274e47c-8a17-4f3f-afc9-ad2a648a6f44&fbclid=IwAR0W8A_SCSdsZGCceXYBs_036gAoxPlC4TebGYPGErZf4rsYti1h_lXYuds_aem_AXyek6NQDOhClCirQKCQOt-RHRhZWcpV1uxLMkUTrfIniOQUD7i_k5o3_AznPWXVDWtJM1f3hn1BUzcyW3oyLyuZ)
